"n_Acc","x","y","shoe","row_number","min_dist","horiz_dist","distance_shape","new_x"
1,-0.0583333333333333,0.355,303,16444,0.102252411001186,0.106666666666667,0.175,-0.0618686868686867
1,-0.055,0.381666666666667,303,16445,0.0961480340123729,0.100221975855819,0.165,-0.0584646597233725
1,-0.035,0.358333333333333,303,16446,0.12369316876853,0.13,0.171666666666667,-0.0364141414141414
1,-0.0316666666666667,0.258333333333333,303,16447,0.14,0.14,0.191666666666667,-0.0353559870550162
1,-0.0116666666666667,-0.278333333333333,303,16448,0.129443252259651,0.133333333333333,0.175,-0.014080459770115
1,-0.005,-0.395,303,16449,0.120415945787923,0.140039676917333,0.168333333333333,-0.00580300980087252
1,0.015,0.335,303,16450,0.164654520469713,0.176792408082348,0.198333333333333,0.0155115628910747
1,0.025,0.378333333333333,303,16451,0.133208274684587,0.150148075060736,0.178333333333333,0.0254546521952201
1,0.025,0.208333333333333,303,16452,0.193362066830309,0.193362066830309,0.235,0.0269048561651759
1,0.0283333333333333,0.218333333333333,303,16453,0.195078331845327,0.2,0.235,0.0291605839416058
1,0.035,0.075,303,16454,0.163978318349985,0.173461491083436,0.235,0.0394557285244975
1,0.0516666666666667,0.278333333333333,303,16455,0.153659074288215,0.160138828659524,0.218333333333333,0.0532590315382656
1,0.0583333333333333,0.338333333333333,303,16456,0.125255294853706,0.133374993491617,0.198333333333333,0.0603492014982143
1,0.0583333333333333,0.305,303,16457,0.138283123417944,0.146818103636968,0.211666666666667,0.0601858919662827
1,0.0716666666666667,0.295,303,16458,0.128754719438853,0.14,0.215,0.0727952755905512
1,0.0716666666666667,0.278333333333333,303,16459,0.135687549580318,0.140158640277524,0.218333333333333,0.0738685214148883
1,0.0983333333333333,0.095,303,16460,0.122927259430572,0.123333333333333,0.238333333333333,0.105726817042607
1,0.108333333333333,-0.391666666666667,303,16461,0.0433333333333335,0.044472213547088,0.168333333333333,0.119341944604811
1,0.145,-0.121666666666667,303,16462,0.0405517502019881,0.0405517502019881,0.181666666666667,0.14196398922668
1,0.165,-0.065,303,16463,0.03,0.03,0.195,0.165
0,0.125,0.108333333333333,303,16464,0.0968962790249909,0.0968962790249909,0.241666666666667,0.136137178442416
0,-0.101666666666667,0.401666666666667,303,16465,0.0463081466314989,0.0477260702109208,0.155,-0.105482593482746
0,0.0216666666666667,-0.195,303,16466,0.139920612412102,0.143488288333539,0.178333333333333,0.0233955371722519
0,0.0716666666666667,-0.461666666666667,303,16467,0.0380058475033044,0.0444722135470877,0.151666666666667,0.0935900572180407
0,-0.0183333333333333,0.415,303,16468,0.103708994574027,0.126710518724988,0.148333333333333,-0.0187491190136826
0,0.0483333333333333,0.075,303,16469,0.167763060428822,0.170130668735665,0.235,0.0519917845766919
0,-0.0816666666666667,-0.375,303,16470,0.0666666666666666,0.0666666666666666,0.168333333333333,-0.0926779026217229
0,0.0683333333333333,0.351666666666667,303,16471,0.110805134257298,0.117094453801669,0.191666666666667,0.0706324678980647
0,0.0383333333333333,0.025,303,16472,0.151803967156476,0.16,0.225,0.0434873949579832
0,-0.0316666666666667,0.345,303,16473,0.130724477007517,0.136666666666667,0.175,-0.0329207920792079
0,0.0283333333333333,0.195,303,16474,0.194164878389476,0.196666666666667,0.238333333333333,0.0300123456790123
0,0.015,0.441666666666667,303,16475,0.0817176711475414,0.123513382090993,0.138333333333333,0.0149805020184756
0,-0.0183333333333333,0.141666666666667,303,16476,0.135973853695808,0.140158640277524,0.188333333333333,-0.0217851901210803
0,-0.0483333333333333,-0.115,303,16477,0.0566666666666667,0.0566666666666667,0.135,-0.0621428571428571
0,-0.0483333333333333,0.198333333333333,303,16478,0.119675487140108,0.12,0.191666666666667,-0.05503300330033
0,-0.085,-0.405,303,16479,0.053748384988657,0.0567646212197547,0.171666666666667,-0.102928830487598
0,-0.065,0.035,303,16480,0.0566666666666667,0.0600925212577332,0.155,-0.0805403864172029
0,-0.025,0.108333333333333,303,16481,0.119256958799989,0.123513382090993,0.181666666666667,-0.0305808581201391
0,0.095,0.258333333333333,303,16482,0.119675487140108,0.123513382090993,0.225,0.0978200959385593
0,-0.121666666666667,0.231666666666667,303,16483,0.0499999999999997,0.0499999999999997,0.191666666666667,-0.13584142394822
1,-0.135,0.231666666666667,304,16484,0.04,0.04,0.191666666666667,-0.147857142857143
1,-0.111666666666667,0.0683333333333333,304,16485,0.0328295260059867,0.0339934634239516,0.171666666666667,-0.131603922312295
1,-0.105,0.201666666666667,304,16486,0.0687184270936278,0.07,0.191666666666667,-0.115
1,-0.055,0.278333333333333,304,16487,0.12,0.12,0.188333333333333,-0.0591904761904762
1,-0.0383333333333333,0.0683333333333333,304,16488,0.102686145338329,0.106874796945876,0.171666666666667,-0.0453180930220802
1,0.005,0.371666666666667,304,16489,0.135728487143349,0.147007180474666,0.185,0.00608523884931978
1,0.015,0.318333333333333,304,16490,0.15059142664102,0.160138828659524,0.205,0.0175575000902736
1,0.075,0.255,304,16491,0.113186178975664,0.116856987619721,0.225,0.0879561396713258
1,0.0883333333333333,-0.188333333333333,304,16492,0.0766666666666667,0.0766666666666667,0.178333333333333,0.0954713804713805
1,0.111666666666667,-0.168333333333333,304,16493,0.0566666666666663,0.0566666666666663,0.178333333333333,0.118300330033004
0,0.141666666666667,-0.301666666666667,304,16494,0.0266666666666663,0.0266666666666663,0.178333333333333,0.150082508250825
0,0.128333333333333,0.345,304,16495,0.0372677996249968,0.0372677996249968,0.195,0.151116115892136
0,0.0516666666666667,-0.445,304,16496,0.03,0.0802772971919486,0.155,0.0606949579134569
0,0.101666666666667,-0.381666666666667,304,16497,0.0599999999999997,0.0599999999999997,0.168333333333333,0.10585910652921
0,0.101666666666667,0.191666666666667,304,16498,0.0999999999999997,0.0999999999999997,0.238333333333333,0.120151515151516
0,0.168333333333333,0.231666666666667,304,16499,0.0300000000000003,0.0300000000000003,0.231666666666667,0.196624649859944
0,-0.111666666666667,0.238333333333333,304,16500,0.0636832439151423,0.0636832439151423,0.191666666666667,-0.12205753459904
0,0.065,-0.388333333333333,304,16501,0.086666666666667,0.0966666666666667,0.168333333333333,0.067680412371134
0,0.0216666666666667,0.245,304,16502,0.16739839372653,0.173365381652611,0.228333333333333,0.0253662014261542
